year,statefip,age,Male,White,Black,Asian,Hispanic,HSGrad,CollegeGrad,Married,inctot,IncomeReal,CPI,EmployerIns,Medicaid,Medicare,state
1962,alabama,41.187084,.46028212,.7475872,.25241277,0,,.37193763,.072754271,.640553,2007.61260210035,17159.082,11.7,,,,alabama
1963,alabama,39.458153,.47532189,.78755367,.21137339,0,,,,.64555556,1864.694488188976,15802.495,11.8,,,,alabama
1964,alabama,40.771206,.453125,.83035713,.16964285,0,,.35267857,.058035713,.66280419,2087.785714285714,17398.215,12,,,,alabama
1965,alabama,40.775059,.47785547,.80069929,.1981352,0,,.35547787,.055944055,.63353294,2105.519813519813,17258.359,12.2,,,,alabama
1966,alabama,40.827099,.47168857,.75733066,.24266936,0,,.36046511,.051567238,.66683936,2261.694641051567,18093.557,12.5,,,,alabama
1967,alabama,40.614468,.46703297,.75183153,.2481685,0,,.38736263,.050366301,.66886795,2451.489926739927,19003.799,12.9,,,,alabama
1977,alabama,31.953939,.47164065,.74457556,.25428244,0,.011655011,.50551105,.077655308,.63201237,5614.726953907815,23994.561,23.4,,,,alabama
1978,alabama,32.485458,.47188833,.75184178,.24428073,0,.010891489,.50126326,.065689743,.61678833,5993.610409297625,23784.168,25.200001,,,,alabama
1979,alabama,32.887684,.47573206,.73204976,.26113117,0,.0091781393,.51210529,.081578948,.61917663,6756.743157894737,24131.227,28,,,,alabama
1980,alabama,33.71199,.47500873,.71128976,.28661308,0,.011978221,.51509523,.094751507,.62331629,7103.102183000465,22336.801,31.799999,.23872772,.097867876,.18253599,alabama
1981,alabama,33.266689,.46416023,.73506677,.26458186,0,.0065549891,.54042751,.10408922,.60687733,8028.480483271375,22873.164,35.099998,.25333801,.090302177,.16775092,alabama
1982,alabama,32.949627,.47264856,.7701692,.22550178,0,.0052631581,.57902974,.083985396,.60459054,8724.402712571728,23389.82,37.299999,.25226289,.089334905,.16901408,alabama
1983,alabama,33.993069,.47939929,.7839815,.21062765,0,.0020226538,.60172504,.086757988,.62557077,9443.918822932521,24529.66,38.5,.24566808,.067770503,.17503805,alabama
1984,alabama,34.57056,.48362312,.79215527,.20501415,0,.0033783785,.62308097,.10058232,.63684487,10100.15510852303,25124.764,40.200001,.25394258,.083299637,.18687136,alabama
1985,alabama,35.030258,.46924603,.7901786,.2048611,0,.0020439448,.6136654,.100894,.61238825,10596.12707535121,25471.461,41.599998,.24206349,.08730159,.1807152,alabama
1986,alabama,34.373447,.46762589,.77174622,.22498365,0,.0054310928,.64655906,.12659304,.58453697,11240.26253186066,26510.053,42.400002,.26880315,.076520599,.16482583,alabama
1987,alabama,33.828644,.47007674,.7191816,.27826086,0,.0053276503,.60714287,.12061995,.5667116,12102.58221024259,27568.523,43.900002,.26189259,.089002557,.16846362,alabama
1988,alabama,34.715691,.47022268,.73744172,.25945106,0,.0041972715,.58662206,.11638796,.5779264,12575.41204013378,27517.313,45.700001,.28534439,.10875195,.18795986,alabama
1989,alabama,35.084793,.47210065,.74562365,.25437638,0,.0049696299,.59432626,.1035461,.59361702,12591.27943262411,26286.596,47.900002,.28282276,.10284464,.19716312,alabama
1990,alabama,34.581234,.45790884,.75817692,.23485255,0,.0076586432,.63431787,.10548523,.60970461,13945.30872011252,27614.473,50.5,.29276139,.10187668,.18424754,alabama
1991,alabama,34.391098,.45863876,.72198951,.2712042,0,.012147984,.64358455,.12627292,.59334689,13926.17786829599,26475.625,52.599998,.27905759,.10575916,.17379497,alabama
1992,alabama,34.876289,.47216496,.73556703,.25824744,0,.012466124,.69189548,.12659076,.57401204,15027.496316142,27726.008,54.200001,.27989691,.099484533,.18553248,alabama
1993,alabama,34.975479,.46108741,.72921109,.26599148,0,.007166483,.71239555,.12674095,.58565462,15883.5208913649,28465.092,55.799999,.28358209,.09594883,.19637883,alabama
1994,alabama,35.756397,.46774194,.7291435,.26418242,0,.005042017,.68065435,.13015647,.57894737,16097.25960170697,28092.949,57.299999,.28197998,.12402669,.2027027,alabama
1995,alabama,35.78344,.47346073,.77335459,.21390659,0,.015491453,.69742197,.14857531,.5841248,17439.74762550882,29609.078,58.900002,.29352441,.093949042,.20284939,alabama
1996,alabama,35.976746,.45116279,.69825584,.29651162,0,.013379872,.69742817,.15506808,.55068082,19360.55900151286,31948.117,60.599998,.29186046,.12732558,.22163388,alabama
1997,alabama,36.785374,.45838287,.7241379,.2705113,0,.010259505,.72003037,.16919576,.57814872,21312.35735963581,34374.77,62,.32818073,.11652794,.20713201,alabama
