incident_count,avg_age,pct_armed,pct_mental,Median Income_imputed,poverty_rate_imputed,percent_completed_hs_imputed,share_white_imputed,share_black_imputed
5,31.8,1.0,0.2,35313.0,29.0,76.3,55.2,16.3
2,38.0,0.5,0.0,41250.0,16.5,85.5,100.0,0.0
1,31.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,34.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,20.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,51.0,1.0,0.5,41250.0,16.5,85.5,100.0,0.0
1,38.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,38.0,1.0,0.5,41250.0,16.5,85.5,100.0,0.0
1,54.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,28.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,29.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,27.0,0.5,0.0,41250.0,16.5,85.5,100.0,0.0
1,35.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,18.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,21.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,34.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
3,46.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,27.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
4,26.75,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,51.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,45.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,64.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,28.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
3,29.333333333333332,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,48.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,38.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,22.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,34.5,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,31.0,1.0,1.0,41250.0,16.5,85.5,100.0,0.0
1,19.0,1.0,1.0,41250.0,16.5,85.5,100.0,0.0
5,31.8,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,70.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,35.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
5,27.8,0.8,0.0,41250.0,16.5,85.5,100.0,0.0
1,20.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,20.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,30.5,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,46.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,34.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,26.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,50.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,38.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,35.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,60.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,42.0,1.0,0.5,41250.0,16.5,85.5,100.0,0.0
1,54.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,39.5,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,57.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,27.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,56.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,48.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,16.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,41.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,27.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,47.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,19.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,20.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
5,33.8,0.8,0.4,35313.0,29.0,76.3,55.2,16.3
1,23.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,48.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
12,38.0,1.0,0.16666666666666666,47668.0,16.8,86.8,81.1,1.9
1,15.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,59.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,32.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,35.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,59.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,50.5,1.0,0.5,47668.0,16.8,86.8,81.1,1.9
