city,state,economic_inclusion_index_2016,racial_inclusion_index_2016
Fremont,CA,1.585,1.646
Sunnyvale,CA,1.749,0.933
Bellevue,WA,1.778,0.909
Santa Clara,CA,1.172,1.319
Daly City,CA,0.875,1.461
Torrance,CA,1.099,1.090
West Covina,CA,0.874,1.255
Burbank,CA,0.803,1.185
Miramar,FL,0.228,1.642
Naperville,IL,1.527,0.585
Elk Grove,CA,0.752,1.169
San Francisco,CA,1.116,0.771
Norwalk,CA,0.375,1.349
Downey,CA,1.007,0.821
Carlsbad,CA,1.368,0.513
Hayward,CA,0.589,1.097
Glendale,CA,0.084,1.495
Killeen,TX,0.364,1.240
Pembroke Pines,FL,0.197,1.360
Henderson,NV,0.909,0.731
Plano,TX,1.140,0.529
Livonia,MI,1.516,0.160
Huntington Beach,CA,0.863,0.670
Thousand Oaks,CA,1.095,0.458
Cambridge,MA,1.354,0.244
Roseville,CA,0.736,0.732
Palm Bay,FL,0.366,0.958
Simi Valley,CA,0.691,0.674
Sterling Heights,MI,0.737,0.635
Overland Park,KS,1.342,0.127
Chandler,AZ,0.804,0.527
Vallejo,CA,0.151,1.037
Peoria,AZ,0.779,0.523
Norman,OK,0.791,0.509
Clarksville,TN,0.631,0.565
Virginia Beach,VA,0.874,0.348
San Jose,CA,0.688,0.456
McKinney,TX,0.736,0.413
Hampton,VA,0.642,0.462
Grand Prairie,TX,0.249,0.750
Chula Vista,CA,0.129,0.818
Jersey City,NJ,0.029,0.889
Seattle,WA,1.042,0.043
Fort Collins,CO,0.565,0.392
Fontana,CA,0.047,0.797
Antioch,CA,0.062,0.764
Fullerton,CA,0.440,0.449
Chesapeake,VA,0.563,0.320
Fairfield,CA,0.141,0.655
Modesto,CA,0.493,0.369
Mesquite,TX,0.095,0.669
Vancouver,WA,0.442,0.377
Arvada,CO,0.707,0.159
Ann Arbor,MI,0.616,0.230
Pasadena,CA,0.340,0.445
Oceanside,CA,0.447,0.350
Scottsdale,AZ,0.970,-0.070
Fayetteville,NC,0.052,0.659
West Jordan,UT,0.825,0.031
Orange,CA,0.625,0.183
Anchorage,AK,0.615,0.177
Corpus Christi,TX,0.117,0.528
Inglewood,CA,-0.473,0.988
El Paso,TX,-0.131,0.710
Corona,CA,0.050,0.563
Camden,NJ,-1.129,1.489
Billings,MT,0.733,-0.005
Columbia,MO,0.621,0.073
Boise City,ID,0.571,0.091
Murfreesboro,TN,0.687,-0.007
Paterson,NJ,-0.774,1.154
Westminster,CO,0.753,-0.079
Manchester,NH,0.832,-0.151
North Las Vegas,NV,-0.081,0.576
Everett,WA,0.338,0.238
Lancaster,CA,0.133,0.385
Cape Coral,FL,0.105,0.391
Parma,OH,1.205,-0.505
Newark,NJ,-0.540,0.886
Midland,TX,0.598,-0.026
Sacramento,CA,-0.008,0.437
Berkeley,CA,0.547,-0.017
Hollywood,FL,-0.010,0.422
New Haven,CT,-0.093,0.478
Detroit,MI,-0.866,1.085
Irving,TX,0.052,0.349
Pomona,CA,-0.452,0.739
Carrollton,TX,0.414,0.036
Concord,CA,0.291,0.112
Lowell,MA,0.565,-0.111
Gary,IN,-0.640,0.850
Newport News,VA,0.524,-0.087
Richmond,CA,0.261,0.122
Madison,WI,0.749,-0.289
Victorville,CA,-0.567,0.760
Riverside,CA,0.008,0.299
Provo,UT,-0.040,0.324
